,Unnamed: 0,fct:id,nyt:id,wof:id,dbp:id,iata:code,faa:code,gn:id,wd:id,fips:code,fb:id,mzb:id,icao:code,wk:page,gp:id,loc:id,qs:id,oa:id,tgn:id,link,wk_page_id
55115,143943,08c26dd4-8f76-11e1-848f-cfd5bf3ef515,,85940115.0,,,,4237383.0,Q2672010,1721254.0,,,,"Dupo, Illinois",2394623.0,,12898.0,,,,
55116,143945,08cdae60-8f76-11e1-848f-cfd5bf3ef515,,85938745.0,,,,4914785.0,Q2485384,1777811.0,,,,"Victoria, Illinois",2512067.0,,925927.0,,,,
55117,143946,08ce95dc-8f76-11e1-848f-cfd5bf3ef515,,85938753.0,,,,4253187.0,Q2585892,1781867.0,,,,"Willisville, Illinois",2521007.0,,351727.0,,,,
55118,143948,08c1cc26-8f76-11e1-848f-cfd5bf3ef515,,85941305.0,,,,4256384.0,Q958240,1816336.0,,,,"Cumberland, Indiana",2388185.0,,12559.0,,,,
55119,143949,08c1b3b2-8f76-11e1-848f-cfd5bf3ef515,,85938515.0,,,,4889089.0,Q2671776,1717406.0,,,,"Crescent City, Illinois",2386993.0,,327632.0,,,,
55120,143950,08c12e6a-8f76-11e1-848f-cfd5bf3ef515,,85938517.0,,,,4888208.0,Q2671816,1714936.0,,,,"Clifton, Illinois",2381600.0,,12052.0,,,,
55121,143951,08c5718c-8f76-11e1-848f-cfd5bf3ef515,,85940815.0,,,,4897039.0,Q2122652,1737257.0,,,,"Indian Head Park, Illinois",2426820.0,,198206.0,,,,
55122,143952,08c79c82-8f76-11e1-848f-cfd5bf3ef515,,85941309.0,,,,4261132.0,Q2281290,1845648.0,,,,"McCordsville, Indiana",2447701.0,,1048278.0,,,,
55123,143953,08cc6a6e-8f76-11e1-848f-cfd5bf3ef515,,85939419.0,,,,4250476.0,Q575519,1771448.0,,,,"Sparta, Illinois",2497362.0,,364970.0,,,,
55124,143954,08c1acfa-8f76-11e1-848f-cfd5bf3ef515,,85941311.0,,,,4256252.0,Q2786182,1815652.0,,,,"Crane, Indiana",2386671.0,,959541.0,,,,
